datetime,episode,steps,return,epsilon
2025-10-28 23:17:43,192,750,252.5,0.038
2025-10-28 23:17:43,193,207,77.93,0.038
2025-10-28 23:17:43,194,448,165.52,0.038
2025-10-28 23:17:43,195,404,105.96,0.038
2025-10-28 23:17:43,196,249,77.51,0.037
2025-10-28 23:17:43,197,372,136.28,0.037
2025-10-28 23:17:43,198,264,97.36,0.037
2025-10-28 23:17:43,199,176,28.24,0.037
2025-10-28 23:17:43,200,280,117.2,0.037
2025-10-28 23:17:43,201,180,58.2,0.037
2025-10-28 23:17:43,202,284,147.16,0.036
2025-10-28 23:17:43,203,216,97.84,0.036
2025-10-28 23:17:43,204,482,25.18,0.036
2025-10-28 23:17:43,205,436,145.64,0.036
2025-10-28 23:17:43,206,191,48.09,0.036
2025-10-28 23:17:43,207,608,193.92,0.035
2025-10-28 23:17:43,208,378,146.22,0.035
2025-10-28 23:17:43,209,361,126.39,0.035
2025-10-28 23:17:43,210,239,117.61,0.035
2025-10-28 23:17:43,211,32,-0.32,0.035
2025-10-28 23:17:43,212,71,19.29,0.035
2025-10-28 23:17:43,213,83,29.17,0.034
2025-10-28 23:17:43,214,206,67.94,0.034
2025-10-28 23:17:43,215,221,77.79,0.034
2025-10-28 23:17:43,216,329,126.71,0.034
2025-10-28 23:17:43,217,243,67.57,0.034
2025-10-28 23:17:43,218,533,174.67,0.034
2025-10-28 23:17:43,219,234,97.66,0.033
2025-10-28 23:17:43,220,351,156.49,0.033
2025-10-28 23:17:43,221,613,223.87,0.033
2025-10-28 23:17:43,222,519,204.81,0.033
2025-10-28 23:17:43,223,162,38.38,0.033
2025-10-28 23:17:43,224,284,137.16,0.033
2025-10-28 23:17:43,225,317,116.83,0.032
2025-10-28 23:17:43,226,353,146.47,0.032
2025-10-28 23:17:43,227,355,126.45,0.032
2025-10-28 23:17:43,228,463,185.37,0.032
2025-10-28 23:17:43,229,390,186.1,0.032
2025-10-28 23:17:43,230,599,244.01,0.032
2025-10-28 23:17:43,231,900,331.0,0.031
2025-10-28 23:17:43,232,28,-10.28,0.031
2025-10-28 23:17:43,233,321,106.79,0.031
2025-10-28 23:17:43,234,437,165.63,0.031
2025-10-28 23:17:43,235,518,184.82,0.031
2025-10-28 23:17:43,236,643,243.57,0.031
2025-10-28 23:17:43,237,31,-0.31,0.03
2025-10-28 23:17:43,238,283,37.17,0.03
2025-10-28 23:17:43,239,176,28.24,0.03
2025-10-28 23:17:43,240,578,194.22,0.03
2025-10-28 23:17:43,241,382,146.18,0.03
2025-10-28 23:17:43,242,90,39.1,0.03
2025-10-28 23:17:43,243,94,19.06,0.03
2025-10-28 23:17:43,244,383,126.17,0.029
2025-10-28 23:17:43,245,309,116.91,0.029
2025-10-28 23:17:43,246,420,185.8,0.029
2025-10-28 23:17:43,247,264,127.36,0.029
2025-10-28 23:17:43,248,196,8.04,0.029
2025-10-28 23:17:43,249,134,38.66,0.029
2025-10-28 23:17:43,250,507,204.93,0.029
2025-10-28 23:17:43,251,731,242.69,0.028
2025-10-28 23:17:43,252,225,57.75,0.028
2025-10-28 23:17:43,253,319,106.81,0.028
2025-10-28 23:17:43,254,504,174.96,0.028
